title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,synopsis
8371,The Law of Immutability,DRAMA,Pigism,FRIDAY,6,45811,9.25,285707,28263,ONGOING,"Woori Nam has always been the golden boy—wealthy, carefree, and untouchably lucky. But on the leap day of 2028, his 7th real birthday, everything changes. A seemingly harmless reunion with an old classmate, Subin Shin, ends in a brutal murder. And then, inexplicably, Woori wakes up back in high school, right beside Subin who has no idea that he just killed his deskmate. Trapped in a deadly time loop where almost every timeline ends with his death at Subin’s hands, Woori becomes desperate to escape his fate. After multiple resets, Woori finally comes to the conclusion that the only path to survival may be ensuring Subin’s happiness. With just one life left, Woori sets out to give Subin the happiest life possible."
8370,Why Does Everyone Love Me?!,DRAMA,Kim Seorin,WEDNESDAY,7,22777,8.25,164158,11403,ONGOING,"One day, the disgraced child actress Sara Gwon takes her own life, only to wake up… ten years in the past? Except now, she is successful, radiant, and adored by all. What happened? How did she go from public enemy number one to national sweetheart? And more importantly, can her fate truly be rewritten this time?"
8369,How to Hide the Emperor's Child,DRAMA,"wi26th,SSAL,LEE YEONSEON",MONDAY,3,169366,6.3,2937869,220207,ONGOING,"After dedicating ten years of her life to Kaizen, Astelle is divorced by him as soon as he becomes the emperor, making her reign as empress the shortest one in history. Because of her decision to go through with the divorce, she is also disowned by her family, leaving her no choice but to raise her (and Kaizen's) son, Theore, alone. Six years pass by without much trouble, until one day, Kaizen's soldiers manage to track her down and bring her and Theore to Kaizen. Will Astelle be able to protect Theore?"
8368,Dallae,ROMANCE,Choonae,SATURDAY,2,34526,8.77,366013,57792,COMPLETED,"Bo-eun has recently acquired a furry little roommate named Dallae (Korean for azalea), who she met in an azalea field. Dallae has her own schedule, though, and comes and goes as she pleases. Meanwhile, Bo-eun can’t seem to stop dreaming about a missed friendship in high school – her name is Saeyeon. Oddly enough, it was around the time that Dallae started showing up that Bo-eun started having recurring dreams of Saeyeon...
This story has two (or is it three?) main characters, and they’re all hiding a secret from each other."
8367,Addicted to You,ROMANCE,"Taeyang,mumen,Ante",FRIDAY,7,72919,8.98,478879,29187,ONGOING,"On a dark, quiet night, as Se-a returns to her empty home, flickering lights reveal a man in a cap standing at her doorstep. He calls her name, and when she turns, she’s stunned by the familiar face: someone she believed had died ten years ago. Letting him in sets off a chain of unraveling truths, buried secrets, and painful misunderstandings. But he’s not the only one hiding something. As past and present collide, can the two mend the distance that time and silence have carved between them?"
8332,Paradise on Earth,THRILLER,Dalgonyak,SUNDAY,9,45471,9.55,365679,42040,ONGOING,"Love, money, fame… They all come to Paradise Island chasing different things, but what they find is a nightmare. Oreum joins 15 other participants on a reality dating show, hoping to win prize money that could save her sister’s life. But when a mysterious virus spreads, turning people into flesh-hungry monsters, trust crumbles, terror rises, and Oreum’s only goal becomes making it out alive."
8292,The Spy Life in the Demonic Sect,ACTION,"DALGON,eunho",THURSDAY,9,18422,7.11,114016,9230,ONGOING,"Iseo Jang, the Murim Alliance’s prodigy spy, has spent 14 years deep undercover in the Demon Sect, earning the ruthless title of “Rabid Dog” for his work as their counterintelligence agent. But his newest mission is his most absurd yet: make the Sect’s laziest, most notorious delinquent -- Wu Ma -- the next Cheonma. To pull it off, Iseo ditches his post and applies to be Wu Ma’s official aide. In a world of betrayal, martial arts, and political games, can even a talent like Iseo turn a hopeless young master into an heir? 
"
8291,The Villainess is Bothered By Male Leads,ROMANCE,"EUN,LB,Mangojamong",MONDAY,9,105897,7.0,1064834,77180,ONGOING,"All she wanted was an easy life as a noble woman. Instead, Laura Jay found herself involved with a series of drama and a number of courters. She didn't sign up for all the excitement. ""Just leave me alone!"""
8246,Romance in Reverse,ROMANCE,"Boaz&Deerchaser,studioaire,Harasyo",THURSDAY,2,30539,8.05,833157,75646,COMPLETED,"Lady Carinne is in danger of being sold off in a political marriage, but the arrangement falls through when she spends a night with a mysterious stranger, willingly conceiving his child. Her spiteful father locks her away as punishment for years, until one day - another suitor steps forward, offering to marry Carinne and take her child in. When she arrives at his castle, however, she realizes he is someone she has met before…
The following series contains depictions of domestic abuse that may be upsetting for some readers. Viewer discretion is advised. "
8245,I Don't Love You Anymore,ROMANCE,"SUSU,Cassiopeia",SATURDAY,3,36215,8.0,1364983,109012,COMPLETED,"What happens after you fall out of love? Nevaeh Solene was engaged to the Duke, Baler Eustache. But for ten long winters, she endured in a relationship that was not meant to be. After calling off her engagement, Nevaeh moves to another country, hoping to lead a quiet life. But there she meets Emperor Arendt, who wants to give her the love she’s never had. Will Nevaeh’s eternal winter finally melt into the blossoms of spring?

"
